23,"Debonaire Robusto Maduro","5.25","50","DR","DR/NIC","CTB","Maduro","Medium-Full",
23,"Debonaire Sagita Habano","5.5","38","DR","DR","NIC","Colorado","Medium",
23,"Debonaire Sagita Maduro","5.5","38","DR","DR/NIC","CTB","Maduro","Medium-Full",
23,"Debonaire Solomone Habano ","7.75","58","DR","DR","NIC","Colorado","Medium",
23,"Debonaire Toro Habano","6","54","DR","DR","NIC","Colorado","Medium",
23,"Debonaire Toro Maduro","6","54","DR","DR/NIC","CTB","Maduro","Medium-Full",
24,"Decision #250 Maduro","5.5","49","USA","DR","CTB","Maduro","Mild-Medium",
24,"Decision #350 Maduro","6.25","45","USA","DR","CTB","Maduro","Mild-Medium",
24,"Decision #450 Maduro","5","44","USA","DR","CTB","Maduro","Mild-Medium",
24,"Decision #550 Maduro","5.38","37","USA","DR","CTB","Maduro","Mild-Medium",
25,"Deco Drive Churchill","6.5","48","USA","DR","ECU","Colorado","Mild-Medium",
25,"Deco Drive Naked Bundle Churchill","7","50","NIC","NIC","HAB","Colorado Maduro","Medium",
25,"Deco Drive Naked Bundle Robusto","5","50","NIC","NIC","HAB","Colorado Maduro","Medium",
25,"Deco Drive Naked Bundle Toro","6","52","NIC","NIC","HAB","Colorado Maduro","Medium",
25,"Deco Drive Naked Bundle Torpedo","6","52","NIC","NIC","HAB","Colorado Maduro","Medium",
25,"Deco Drive Robusto","5","50","USA","DR","ECU","Colorado","Mild-Medium",
25,"Deco Drive Torpedo","6.5","48","USA","DR","ECU","Colorado","Mild-Medium",
26,"Defiant Belicoso","6.25","52","DR","HON/NIC","ECU","Colorado Claro","Medium",
26,"Defiant Belicoso Fino","5","52","DR","HON/NIC","ECU","Colorado Claro","Medium",
26,"Defiant Corona","6","44","DR","HON/NIC","ECU","Colorado Claro","Medium",
26,"Defiant Hemingway Petite","4","52","DR","HON/NIC","ECU","Colorado Claro","Medium",
26,"Defiant Petite Corona","6.5","42","DR","HON/NIC","ECU","Colorado Claro","Medium",
26,"Defiant Presidente","7.5","52","DR","HON/NIC","ECU","Colorado Claro","Medium",
26,"Defiant Robusto","5","50","DR","HON/NIC","ECU","Colorado Claro","Medium",
26,"Defiant Toro","6","50","DR","HON/NIC","ECU","Colorado Claro","Medium",
27,"Del Campo Churchill","6","48","NIC","HON/MEX/NIC","H98","","Medium",
27,"Del Campo Corona","5","42","NIC","HON/MEX/NIC","H98","","Medium",
27,"Del Campo Panatela","6","36","NIC","HON/MEX/NIC","H98","","Medium",
27,"Del Campo Robusto","5","50","NIC","HON/MEX/NIC","H98","","Medium",
27,"Del Campo Torpedo","6","52","NIC","HON/MEX/NIC","H98","","Medium",
28,"Del Paraiso Elemental line Aficionado","6","50","MEX","MEX","MEX","Colorado","Medium",
28,"Del Paraiso Elemental Line Aficionado Maduro","6","50","MEX","MEX","MEX","Maduro","Medium",
28,"Del Paraiso Elemental Line Cetros","6.5","30","MEX","MEX","MEX","Colorado","Medium",
28,"Del Paraiso Elemental Line Cetros Maduro","6.5","30","MEX","MEX","MEX","Maduro","Medium",
