21,"Dominican Bundles (Antillian Cigar Corp) No. 1 Natural","6.75","44","DR","DR","CT","Colorado Claro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) No. 1 Sumatran","6.75","44","DR","DR","INDO","Colorado Maduro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) No. 4 Maduro","5.5","44","DR","DR","CT","Maduro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) No. 4 Natural","5.5","44","DR","DR","CT","Colorado Claro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) No. 4 Sumatran","5.5","44","DR","DR","INDO","Colorado Maduro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Presidente Maduro","7.75","52","DR","DR","CT","Maduro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Presidente Natural","7.75","52","DR","DR","CT","Colorado Claro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Presidente Sumatran","7.75","52","DR","DR","INDO","Colorado Maduro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Regulares Maduro","6","50","DR","DR","CT","Maduro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Regulares Natural","6","50","DR","DR","CT","Colorado Claro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Regulares Sumatran","6","50","DR","DR","INDO","Colorado Maduro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Rothschild Maduro","5","50","DR","DR","CT","Maduro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Rothschild Natural","5","50","DR","DR","CT","Colorado Claro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Rothschild Sumatran","5","50","DR","DR","INDO","Colorado Maduro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Super Fino Maduro","6","35","DR","DR","CT","Maduro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Super Fino Natural","6","35","DR","DR","CT","Colorado Claro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Super Fino Sumatran","6","35","DR","DR","INDO","Colorado Maduro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Torpedo Maduro","6","52","DR","DR","CT","Maduro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Torpedo Natural","6","52","DR","DR","CT","Colorado Claro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Torpedo Sumatran","6","52","DR","DR","INDO","Colorado Maduro","Medium",
22,"Dominican Cream Churchill","7","50","DR","DR","CT","Colorado Claro","Mild",
22,"Dominican Cream Robusto","5","52","DR","DR","CT","Colorado Claro","Mild",
22,"Dominican Cream Toro","6","54","DR","DR","CT","Colorado Claro","Mild",
22,"Dominican Cream Torpedo","6.5","52","DR","DR","CT","Colorado Claro","Mild",
23,"Dominican Delicias No. 550","5","50","DR","DR","CT","Colorado Claro","Mild-Medium",
23,"Dominican Delicias No. 643","6.5","43","DR","DR","CT","Colorado Claro","Mild-Medium",
23,"Dominican Delicias No. 650","6","50","DR","DR","CT","Colorado Claro","Mild-Medium",
23,"Dominican Delicias No. 750","7","50","DR","DR","CT","Colorado Claro","Mild-Medium",
24,"Dominican Elites Churchill Cameroon Maduro","7","47","DR","DR","CAM","Maduro","Medium-Full",
24,"Dominican Elites Churchill Connecticut","7","47","DR","DR","CTS/USA","Colorado Claro","Medium-Full",
24,"Dominican Elites Churchill Sumatra","7","47","DR","DR","SUM","Colorado Maduro","Medium",
24,"Dominican Elites Lonsdale Cameroon Maduro","6.5","42","DR","DR","CAM","Maduro","Medium-Full",
24,"Dominican Elites Lonsdale Connecticut","6.5","42","DR","DR","CTS/USA","Colorado Claro","Medium-Full",
24,"Dominican Elites Lonsdale Stripe","6.5","42","DR","DR","CTS/SUM/USA","Multiple","Medium-Full",
24,"Dominican Elites Lonsdale Sumatra","6.5","42","DR","DR","SUM","Colorado Maduro","Medium",
24,"Dominican Elites Presidente Cameroon Maduro","7.5","50","DR","DR","CAM","Maduro","Medium-Full",
24,"Dominican Elites Presidente Connecticut","7.5","50","DR","DR","CTS/USA","Colorado Claro","Medium-Full",
24,"Dominican Elites Presidente Sumatra","7.5","50","DR","DR","SUM","Colorado Maduro","Medium",
24,"Dominican Elites Robusto Cameroon Maduro","5.5","50","DR","DR","CAM","Maduro","Medium-Full",
24,"Dominican Elites Robusto Connecticut","5.5","50","DR","DR","CTS/USA","Colorado Claro","Medium-Full",
24,"Dominican Elites Robusto Sumatra","5.5","50","DR","DR","SUM","Colorado Maduro","Medium",
24,"Dominican Elites Torpedo Cameroon Maduro","6","52","DR","DR","CAM","Maduro","Medium-Full",
24,"Dominican Elites Torpedo Sumatra","6","52","DR","DR","SUM","Colorado Maduro","Medium",
25,"Dominican Especiale Churchill","7","48","DR","DR","CT","Naturale","",
25,"Dominican Especiale Churchill","7","48","DR","DR","CT","Colorado Maduro","",
25,"Dominican Especiale Corona","5","48","DR","DR","CT","Naturale","",
25,"Dominican Especiale Robusto","5","48","DR","DR","CT","Colorado Maduro","",
25,"Dominican Especiale Robusto","5","48","DR","DR","CT","Naturale","",
25,"Dominican Especiale Torpedo","6","52","DR","DR","CT","Colorado Maduro","",
25,"Dominican Especiale Torpedo","6","52","DR","DR","CT","Naturale","",
26,"Dominican Estates Corona (EMS)","5.5","44","DR","DR/INDO","CTS","Claro","Mild-Medium",
26,"Dominican Estates Corona (Natural)","5.5","44","DR","DR/INDO","INDO","Colorado Claro","Mild-Medium",
